#Sample	Metric	Value
11166.fmnh.2564	Weighted NSTI	0.05117228175797711
11166.fmnh.1089	Weighted NSTI	0.041952581993340135
11166.fmnh.1091	Weighted NSTI	0.029400718831144163
11166.fmnh.1144	Weighted NSTI	0.03889262733622594
11166.fmnh.1143	Weighted NSTI	0.06405854235775886
11166.fmnh.1096	Weighted NSTI	0.03294499420181734
11166.fmnh.2534	Weighted NSTI	0.12662711799150958
11166.fmnh.2824	Weighted NSTI	0.018603397537690428
11166.fmnh.1102	Weighted NSTI	0.02944692673463859
11166.fmnh.2575	Weighted NSTI	0.019164822191068125
11166.fmnh.209	Weighted NSTI	0.018463126953514663
11166.fmnh.262	Weighted NSTI	0.023806065514131874
11166.fmnh.1105	Weighted NSTI	0.040785113753763355
11166.fmnh.2823	Weighted NSTI	0.02226310276243094
11166.fmnh.275	Weighted NSTI	0.015310420564310985
11166.fmnh.1088	Weighted NSTI	0.048007867709094994
11166.fmnh.1136	Weighted NSTI	0.036756832357669765
11166.fmnh.1112	Weighted NSTI	0.018069560631156834
11166.fmnh.1115	Weighted NSTI	0.050830604746677596
11166.fmnh.2858	Weighted NSTI	0.028014875084796654
11166.fmnh.1131	Weighted NSTI	0.05342539881492554
11166.fmnh.2562	Weighted NSTI	0.04430921983415128
11166.fmnh.2817	Weighted NSTI	0.02066520128188244
11166.fmnh.219	Weighted NSTI	0.02978614700799136
11166.fmnh.2856	Weighted NSTI	0.03936268790427891
11166.fmnh.2875	Weighted NSTI	0.0026967282903076484
11166.fmnh.1070	Weighted NSTI	0.06494197261264388
11166.fmnh.247	Weighted NSTI	0.016730224962781894
11166.fmnh.263	Weighted NSTI	0.02346299468848239
11166.fmnh.2585	Weighted NSTI	0.014425171166508904
11166.fmnh.2574	Weighted NSTI	0.06065607982159248
11166.fmnh.2550	Weighted NSTI	0.013483666268328849
11166.fmnh.2840	Weighted NSTI	0.06127242379508755
11166.fmnh.1061	Weighted NSTI	0.040805052088065175
11166.fmnh.1129	Weighted NSTI	0.02264289346346946
11166.fmnh.1142	Weighted NSTI	0.03869756765135641
11166.fmnh.1097	Weighted NSTI	0.03382153760045132
11166.fmnh.1090	Weighted NSTI	0.011213521054607784
11166.fmnh.1066	Weighted NSTI	0.05442618653195913
11166.fmnh.2808	Weighted NSTI	0.0781983460028402
11166.fmnh.222	Weighted NSTI	0.037980871405186946
11166.fmnh.1318	Weighted NSTI	0.03197940505224607
11166.fmnh.162	Weighted NSTI	0.030273075496149597
11166.fmnh.2603	Weighted NSTI	0.02133673048372159
11166.fmnh.2704	Weighted NSTI	0.0338515116143164
11166.fmnh.922	Weighted NSTI	0.02037908302129595
11166.fmnh.2627	Weighted NSTI	0.02163894760814386
11166.fmnh.1274	Weighted NSTI	0.037145881000801434
11166.fmnh.2620	Weighted NSTI	0.058583125318484496
11166.fmnh.1011	Weighted NSTI	0.024285187074991492
11166.fmnh.2703	Weighted NSTI	0.04125066446113406
11166.fmnh.2604	Weighted NSTI	0.008109813472733755
11166.fmnh.1257	Weighted NSTI	0.022793791111111118
11166.fmnh.2729	Weighted NSTI	0.03739292573314075
11166.fmnh.411	Weighted NSTI	0.018916788069139323
11166.fmnh.1259	Weighted NSTI	0.046315637868988103
11166.fmnh.2661	Weighted NSTI	0.059154534356270855
11166.fmnh.992	Weighted NSTI	0.030354998937178156
11166.fmnh.1216	Weighted NSTI	0.0659475581192192
11166.fmnh.2629	Weighted NSTI	0.021799876312272887
11166.fmnh.1332	Weighted NSTI	0.024240564711911956
11166.fmnh.892	Weighted NSTI	0.054272145373254414
11166.fmnh.995	Weighted NSTI	0.04352790413054563
11166.fmnh.1235	Weighted NSTI	0.025690590897443227
11166.fmnh.2666	Weighted NSTI	0.03284263593920731
11166.fmnh.908	Weighted NSTI	0.024455711435262286
11166.fmnh.1174	Weighted NSTI	0.022865119820530612
11166.fmnh.332	Weighted NSTI	0.01914987059492089
11166.fmnh.934	Weighted NSTI	0.023931577656796682
11166.fmnh.2712	Weighted NSTI	0.03177200772073545
11166.fmnh.1262	Weighted NSTI	0.014241554217628368
11166.fmnh.1209	Weighted NSTI	0.0553984326335722
11166.fmnh.2736	Weighted NSTI	0.08769326437805973
11166.fmnh.182	Weighted NSTI	0.014893262557578413
11166.fmnh.2615	Weighted NSTI	0.060043206735936945
11166.fmnh.1024	Weighted NSTI	0.02045033086893589
11166.fmnh.409	Weighted NSTI	0.01189824024293778
11166.fmnh.1023	Weighted NSTI	0.025600525639391847
11166.fmnh.917	Weighted NSTI	0.02882463398633105
11166.fmnh.1309	Weighted NSTI	0.03875036988022233
11166.fmnh.1265	Weighted NSTI	0.04856283032497696
11166.fmnh.2788	Weighted NSTI	0.04959282787730682
11166.fmnh.958	Weighted NSTI	0.02878613010657194
11166.fmnh.157	Weighted NSTI	0.01803910341981542
11166.fmnh.1293	Weighted NSTI	0.04100819076300457
11166.fmnh.2770	Weighted NSTI	0.048134980385899244
11166.fmnh.956	Weighted NSTI	0.06609512796283172
11166.fmnh.1323	Weighted NSTI	0.07828536104539542
11166.fmnh.2653	Weighted NSTI	0.027169943881719935
11166.fmnh.1165	Weighted NSTI	0.04291681653333118
11166.fmnh.919	Weighted NSTI	0.05182906126800686
11166.fmnh.1193	Weighted NSTI	0.05342696690146135
11166.fmnh.400	Weighted NSTI	0.025881089292152635
11166.fmnh.1223	Weighted NSTI	0.07204432902651099
11166.fmnh.1162	Weighted NSTI	0.01849177125931759
11166.fmnh.975	Weighted NSTI	0.019794600272776106
11166.fmnh.1300	Weighted NSTI	0.028707153208009747
11166.fmnh.1207	Weighted NSTI	0.059190551440354275
11166.fmnh.2781	Weighted NSTI	0.02697165877757947
11166.fmnh.1175	Weighted NSTI	0.016238788402139846
11166.fmnh.1317	Weighted NSTI	0.08089563476131799
11166.fmnh.1183	Weighted NSTI	0.06381204644358507
11166.fmnh.1056	Weighted NSTI	0.07602360895211283
