DATASET_COLORSTRIP

SEPARATOR SPACE

COLOR #8ab2df

DATASET_LABEL categorical_colorstrip

Rhynchonycteris_naso #000000
Rhyticeros_undulatus #000000
Rollandia_rolland #000000
Rollulus_rouloul #000000
Rousettus_aegyptiacus #000000
Rousettus_lanosus #000000
Saccopteryx_bilineata #000000
Saguinus_geoffroyi #FFFFFF
Saguinus_imperator #FFFFFF
Saguinus_labiatus #FFFFFF
Saguinus_oedipus #FFFFFF
Saimiri_boliviensis #FFFFFF
Saltator_maximus #000000
Sapajus_apella #FFFFFF
Sarcophilus_harrisii #FFFFFF
Sarcoramphus_papa #000000
Sarkidiornis_melanotos #000000
Sclerurus_guatemalensis #000000
Scopus_umbretta #000000
Scotoecus_hirundo #000000
Scotophilus_dinganii #000000
Seicercus_borealis #000000
Seiurus_aurocapilla #000000
Semnopithecus_entellus #FFFFFF
Serinus_canicollis #000000
Setophaga_ruticilla #000000
Sheppardia_sharpei #000000
Shinisaurus_crocodilurus #FFFFFF
Sitta_canadensis #000000
Sitta_frontalis #000000
Somateria_mollissima #000000
Speothos_venaticus #FFFFFF
Sphyrapicus_ruber #000000
Spiza_americana #000000
Spizella_pallida #000000
Stercorarius_maccormicki #000000
Sterna_hirundo #000000
Sterna_paradisaea #000000
Stigmochelys_pardalis #FFFFFF
Strabomantis_anomalus #FFFFFF
Streptopelia_capicola #000000
Streptopelia_chinensis #000000
Strigops_habroptilus #FFFFFF
Strix_nebulosa #000000
Strix_varia #000000
Struthio_camelus #FFFFFF
Sturnella_neglecta #000000
Sturnira_erythromos #000000
Sturnira_lilium #000000
Sula_leucogaster #000000
Suricata_suricatta #FFFFFF
Surnia_ulula #000000
Surniculus_lugubris #000000
Sus_cebifrons #FFFFFF
Sus_scrofa #FFFFFF
Sylvia_borin #000000
Sylvicapra_grimmia #FFFFFF
Symphalangus_syndactylus #FFFFFF
Synallaxis_brachyura #000000
Syncerus_caffer #FFFFFF
Tachycineta_bicolor #000000
Tachyeres_patachonicus #000000
