	shannon
11166.fmnh.1300	3.482851933108378
11166.fmnh.1207	6.819693585134173
11166.fmnh.2781	1.671130692443813
11166.fmnh.909	2.528544426809843
11166.fmnh.1175	2.46183953722895
11166.fmnh.1317	4.556433200804655
11166.fmnh.1183	5.156954548319332
11166.fmnh.1056	3.6540101311579973
11166.fmnh.2643	2.761432636381293
11166.fmnh.433	2.537934322553943
11166.fmnh.434	0.0518081177009625
11166.fmnh.1156	3.2202417750671493
11166.fmnh.1233	5.672137764860869
11166.fmnh.410	1.964118718739426
11166.fmnh.1258	3.6733826282475586
11166.fmnh.1184	3.39109081251906
11166.fmnh.1310	5.5202550414728035
11166.fmnh.2743	1.1366544304728492
11166.fmnh.308	2.744344847506768
11166.fmnh.2698	1.2801874127533752
11166.fmnh.164	4.431354678963363
11166.fmnh.2702	0.7600680689262644
11166.fmnh.924	3.7657109949224425
11166.fmnh.1010	3.636838616488573
11166.fmnh.1275	3.7920644862708035
11166.fmnh.325	3.2628285009712497
11166.fmnh.163	3.3107792418934
11166.fmnh.2776	0.17847166967180422
11166.fmnh.2780	1.039833029026011
11166.fmnh.1206	5.062113171826377
11166.fmnh.2739	6.027647936468335
11166.fmnh.1222	2.1061196704744427
11166.fmnh.982	5.719008198431433
11166.fmnh.1249	4.239816565231074
11166.fmnh.1040	3.6996317723325296
11166.fmnh.1047	2.0302650637379824
11166.fmnh.1192	4.1864361880243965
11166.fmnh.985	3.788514274140407
11166.fmnh.383	4.904944226481845
11166.fmnh.2755	1.368656860066312
11166.fmnh.918	2.8404623506831586
11166.fmnh.1201	4.102762231324103
11166.fmnh.422	4.6280202458870745
11166.fmnh.1322	4.304096323194215
11166.fmnh.932	1.3329540510426556
11166.fmnh.2714	1.0867465136049828
11166.fmnh.1264	4.8311277341699315
11166.fmnh.2789	2.7583418089154566
11166.fmnh.447	1.959481393927277
11166.fmnh.2637	2.9450536168539143
11166.fmnh.2730	2.1524053997556387
11166.fmnh.1022	1.9907347240431643
11166.fmnh.2613	2.442099232685356
11166.fmnh.1049	4.2748327821917576
11166.fmnh.1247	3.2555902097824543
11166.fmnh.2614	2.3156149581797836
11166.fmnh.2630	1.164990338285141
11166.fmnh.1263	3.602174787923177
11166.fmnh.2713	3.8459640286075434
11166.fmnh.935	4.0806598880896585
11166.fmnh.953	2.1871282825076537
11166.fmnh.2775	4.5649901365839725
11166.fmnh.1298	3.9677013715160268
11166.fmnh.2783	3.844468895368302
11166.fmnh.1160	2.58663654875387
11166.fmnh.402	3.3343616682799153
11166.fmnh.387	3.5757145770018073
11166.fmnh.986	2.4759222385026813
11166.fmnh.2675	2.708687932512432
11166.fmnh.1044	2.439425976318956
11166.fmnh.970	1.412954473231558
11166.fmnh.2772	2.369955103945237
11166.fmnh.1321	1.0238333113862002
11166.fmnh.289	4.2411635931940435
11166.fmnh.931	3.0759929079699395
11166.fmnh.444	5.565718474003525
11166.fmnh.1267	5.51246818713752
11166.fmnh.915	1.3246755006202482
11166.fmnh.1021	1.2753868470367644
11166.fmnh.187	3.356267005320578
11166.fmnh.180	3.9455016483485723
11166.fmnh.1198	3.8178188280985985
11166.fmnh.1260	3.1902263276104192
11166.fmnh.936	3.747655653085776
11166.fmnh.1314	4.044949977934
11166.fmnh.2664	5.230378057484185
11166.fmnh.945	2.8480225653539057
11166.fmnh.430	4.05800297110433
11166.fmnh.1214	4.233347727642429
11166.fmnh.929	3.7414425418086648
11166.fmnh.2764	0.43437224329794716
11166.fmnh.1155	3.735888914657783
11166.fmnh.990	3.3797613612101105
11166.fmnh.396	3.528424056404942
11166.fmnh.2608	3.129412539248967
11166.fmnh.2740	3.2115003567560203
11166.fmnh.1171	3.5002871556987865
11166.fmnh.1313	5.347462045240268
11166.fmnh.2725	4.177555687611026
11166.fmnh.398	4.400886052303692
11166.fmnh.1189	3.662921082176135
